Data,Brent_F,Petr4_A
04.01.2021,"51,09","28,65"
05.01.2021,"53,6","28,9"
06.01.2021,"54,3","30,16"
07.01.2021,"54,38","30,34"
08.01.2021,"55,99","31,46"
11.01.2021,"55,66","30,61"
12.01.2021,"56,58","31,12"
13.01.2021,"56,06","30,68"
14.01.2021,"56,42","29,17"
15.01.2021,"55,1","29,05"
18.01.2021,"54,75","28,31"
19.01.2021,"55,9","28,48"
20.01.2021,"56,08","28,95"
21.01.2021,"56,1","28,02"
22.01.2021,"55,41","26,93"
25.01.2021,"55,88",
26.01.2021,"55,91","27,25"
27.01.2021,"55,81","26,81"
28.01.2021,"55,53","27,32"
29.01.2021,"55,88","27,52"
01.02.2021,"56,35","27,26"
02.02.2021,"57,46","28,4"
03.02.2021,"58,46","28,98"
04.02.2021,"58,84","28,83"
05.02.2021,"59,34","28,98"
08.02.2021,"60,56","28,51"
09.02.2021,"61,09","28,05"
10.02.2021,"61,47","27,74"
11.02.2021,"61,14","28,14"
12.02.2021,"62,43","27,81"
15.02.2021,"63,3",
16.02.2021,"63,35",
17.02.2021,"64,34","28,52"
18.02.2021,"63,93","30,38"
19.02.2021,"62,91","28,03"
22.02.2021,"65,24","22,8"
23.02.2021,"65,37","23,05"
24.02.2021,"67,04","24,55"
25.02.2021,"66,88",25
26.02.2021,"66,13","23,2"
01.03.2021,"63,69","22,8"
02.03.2021,"62,7","21,84"
03.03.2021,"64,07","21,8"
04.03.2021,"66,74","21,3"
05.03.2021,"69,36","22,44"
08.03.2021,"68,24","21,94"
09.03.2021,"67,52","21,36"
10.03.2021,"67,9","21,94"
11.03.2021,"69,63","22,62"
12.03.2021,"69,22","23,15"
15.03.2021,"68,88","23,11"
16.03.2021,"68,39","23,63"
17.03.2021,68,"23,14"
18.03.2021,"63,28","23,88"
19.03.2021,"64,53","23,27"
22.03.2021,"64,62","23,69"
23.03.2021,"60,79","23,17"
24.03.2021,"64,41","23,19"
25.03.2021,"61,95","22,7"
26.03.2021,"64,57","23,48"
29.03.2021,"64,98","23,34"
30.03.2021,"64,14","23,64"
31.03.2021,"63,54","23,8"
01.04.2021,"64,86","24,29"
05.04.2021,"62,15","24,13"
06.04.2021,"62,74","24,18"
07.04.2021,"63,16","23,94"
08.04.2021,"63,2","23,98"
09.04.2021,"62,95","23,5"
12.04.2021,"63,28","23,96"
13.04.2021,"63,67","23,98"
14.04.2021,"66,58","24,2"
15.04.2021,"66,94","23,7"
16.04.2021,"66,77","23,13"
19.04.2021,"67,05","22,95"
20.04.2021,"66,57","24,33"
21.04.2021,"65,32",
22.04.2021,"65,4","24,14"
23.04.2021,"66,11","23,88"
26.04.2021,"65,65","23,85"
27.04.2021,"66,42","23,82"
28.04.2021,"67,27","23,4"
29.04.2021,"68,56","24,12"
30.04.2021,"67,25","23,4"
03.05.2021,"67,56","23,8"
